"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元) ▼","EPS增減(元)","單季ROE(%)","單季ROE增減","年估ROE(%)","單季ROA(%)","單季ROA增減","年估ROA(%)","財報評分"
"138",="6904","伯鑫","146.5","24Q2","2.34","+3.92","0.83","+7.14","0.45","-0.28","35.5","+1.07","19.3","-0.81","2.44","-0.01","4.49","-0.05","18","2.85","+0.01","11.4","64"
"215",="8436","大江","132","24Q2","19.8","+30.8","8.6","+35.4","2.71","+113","43.5","+1.49","15.6","+6.24","2.43","+1.32","3.25","+1.83","13","2.14","+1.16","8.57","68"
"252",="6679","鈺太","354","24Q2","5.81","+16.6","2.44","+23.7","1.3","-14.9","42","+2.4","22.4","-8.31","2.43","-0.43","2.54","-0.46","10.1","2.31","-0.45","9.26","68"
"472",="6754","匯僑設計","69.5","24Q2","13.7","+19.7","3.74","+67.7","1.6","+169","27.4","+7.83","11.7","+6.5","2.43","+1.53","7.69","+4.82","30.8","3.42","+2.14","13.7","62"
"267",="5493","三聯","91","24Q2","10.9","+4.21","1.54","+16.8","1.01","+231","14.1","+1.52","12.9","+6.4","2.42","+1.69","4.95","+2.47","19.8","2.75","+1.4","11","51"
"285",="6855","數泓科","152","24Q2","1.55","+1.46","0.77","+7.93","0.51","-19.3","49.8","+2.99","32.9","-8.48","2.42","-0.58","6.55","-1.78","26.2","4.15","-1.44","16.6","70"
"193",="6192","巨路","113","24Q2","18.3","+1.71","5.66","+0.71","2.32","-8.03","31","-0.31","12.7","-1.33","2.41","-0.21","3.62","-0.33","14.5","2.07","-0.2","8.29","53"
"103",="2729","瓦城","203","24Q2","15.1","-1.95","7.73","-0.87","0.93","+3.56","51.3","+0.56","6.07","+0.34","2.38","-0.14","3.59","+0.25","14.3","1.7","+0.03","6.79","53"
"413",="1442","名軒","65","24Q2","30.7","+60.8","12","+60.9","8.73","+66.6","39.2","+0.02","28.5","+0.98","2.38","+0.95","11.6","+4.59","46.5","5.25","+2.24","21","66"
"81",="6732","昇佳電子","293","24Q2","11.3","-11.6","2.58","-34.7","1.16","-46.1","23","-8.13","10.3","-6.61","2.37","-2.04","2.78","-2.22","11.1","1.97","-1.51","7.87","53"
"1068",="4746","台耀","91.8","24Q2","12.1","+7.09","5.23","-3.55","2.84","+396","43","-4.75","19.4","+28.1","2.36","+3.16","2.91","+4.12","11.7","1.76","+2.49","7.04","57"
"115",="9941","裕融","140","24Q2","105","+0.9","52.1","-3.76","13.4","+2.94","49.7","-2.41","12.9","+0.13","2.34","+0.07","3.37","+0.07","13.5","0.45","+0.01","1.8","49"
"194",="6263","普萊德","171","24Q2","4.98","+16.8","2.36","+21.6","1.46","+26","47.5","+1.84","29.4","+2.13","2.34","+0.48","9.06","+2.29","36.2","6.18","+1.06","24.7","83"
"370",="3289","宜特","176.5","24Q2","10.5","-1.52","2.93","-2.84","1.72","+29.3","27.9","-0.38","16.2","+5.01","2.33","+0.53","4.92","+1.37","19.7","2.2","+0.63","8.81","43"
"114",="2707","晶華","201.5","24Q2","13.9","-20.6","4.4","-34","2.95","-30.5","31.7","-6.44","20.4","-5.13","2.32","-1.01","6.91","-3.05","27.6","2.66","-1.51","10.6","64"
"375",="1582","信錦","98.5","24Q2","25.3","+18.1","7.76","+23.6","3.32","+35.9","30.6","+1.37","13.7","+1.91","2.32","+0.59","4.55","+1.13","18.2","2.75","+0.68","11","62"
"1229",="8938","明安","79.7","24Q2","31.4","-17","4.88","-25.3","3.19","-23.2","15.6","-1.72","14.6","+4.33","2.32","-0.7","6.56","+0.69","26.3","3.39","+0.51","13.6","57"
"458",="2637","慧洋-KY","71","24Q2","55.3","+17.8","21.5","+44.3","17.2","+15.5","38.8","+7.13","31","-0.63","2.3","+0.31","3.51","+0.33","14","1.85","+0.2","7.41","68"
"164",="3010","華立","124.5","24Q2","212","+22.6","15","+13.7","5.81","+34.4","7.1","-0.56","3.1","+0.22","2.29","+0.49","2.91","+0.55","11.6","1.28","+0.28","5.13","36"
"406",="6782","視陽","229.5","24Q2","9.05","+10.9","3.59","+1.43","1.44","-15.6","39.7","-3.71","16.4","-4.35","2.29","-0.41","4.78","-0.87","19.1","2.92","-0.57","11.7","64"
"678",="6768","志強-KY","98","24Q2","49.4","+23","10.4","+28.5","4.49","+32.1","21.1","+0.9","9.08","+0.63","2.29","+0.56","3.16","+0.73","12.6","2.11","+0.46","8.44","55"
"716",="1532","勤美","36.5","24Q2","67.3","+39.4","18.8","+49.1","8.74","+72.2","27.9","+1.81","15.5","+3.24","2.29","+0.95","5.8","+2.36","23.2","1.95","+0.85","7.78","49"
"165",="6531","愛普*","302.5","24Q2","9.45","+26.3","4.85","+40.8","3.7","+0.53","51.4","+5.29","39.2","-10.1","2.28","+0.01","3.42","+0.06","13.7","2.84","-0.07","11.4","83"
"188",="6412","群電","127.5","24Q2","89","+10.6","18.2","+8.69","9.12","+33.9","20.5","-0.36","10.2","+1.79","2.28","+0.58","7.05","+1.83","28.2","3.1","+0.8","12.4","49"
"610",="3356","奇偶","60.7","24Q2","2.88","-11.1","1.31","-17.9","2.05","-11.8","45.5","-3.79","71.7","-0.74","2.28","-0.31","9.66","-1.85","38.6","7.19","-1.77","28.7","81"
"203",="1475","業旺","58.3","24Q2","5.24","+24.3","1.57","+33.1","1.5","+30.2","29.9","+1.98","28.6","+1.28","2.27","+0.53","10.8","+2.08","43.2","7.45","+0.73","29.8","70"
"554",="6640","均華","932","24Q2","4.23","-39.2","1.66","-36.4","0.64","-53.9","39.3","+1.71","15.1","-4.92","2.27","-2.66","4.12","-6.07","16.5","1.95","-2.28","7.82","55"
"146",="5292","華懋","173.5","24Q2","4.54","-17.7","1.37","-2.24","0.86","+1.44","30.2","+4.76","19","+3.58","2.26","-0.19","6.03","+0.04","24.1","2.88","-0.11","11.5","68"
"208",="6894","衛司特","186","24Q2","2.11","-4.74","0.92","-2.1","0.54","-0.9","43.6","+1.18","26.3","+0.84","2.26","-0.02","4","-0.02","16","3.13","-0.02","12.5","81"
"759",="1713","國化","51.6","24Q2","1.53","+31.2","0.22","+100","3.4","+451","14.5","+4.98","222","+169","2.25","+1.84","11.2","+9.02","44.7","10.2","+8.22","41","62"
"296",="2439","美律","111","24Q2","103","+23.2","13.5","+28.9","4.92","+34.7","13.1","+0.58","5.58","+0.65","2.24","+0.54","3.98","+0.9","15.9","1.62","+0.38","6.47","43"
"47",="6957","裕慶-KY","245.5","24Q2","8.42","-14.5","3.1","-34.7","1.12","-49.7","36.8","-11.4","13.3","-9.33","2.23","-2.34","5.95","-8.99","23.8","2.98","-3.6","11.9","64"
"359",="8410","森田","78.9","24Q2","3.07","+33.8","1.3","+54.9","0.81","+13.1","42.2","+5.76","26.5","-4.87","2.23","+0.26","4.69","+0.47","18.8","3.5","+0.36","14","66"
"425",="6727","亞泰金屬","76.2","24Q2","3.96","+7.95","0.94","+28","0.6","+32.3","23.6","+3.71","15","+2.77","2.23","+0.41","4.93","+0.94","19.7","1.98","+0.43","7.92","50"
"869",="5202","力新","23.75","24Q2","0.41","+8.61","0.31","+5.51","1.98","+2823","75.6","-2.22","484","+466","2.23","+2.15","16.1","+15.5","64.2","14.9","+14.4","59.7","77"
"127",="2204","中華","69.6","24Q2","116","-5.11","18.4","-3.79","12.1","-3.71","15.8","+0.22","10.9","+0.23","2.21","-0.08","3.3","-0.08","13.2","2.42","-0.14","9.68","53"
"145",="1707","葡萄王","150.5","24Q2","27.6","+17.5","21.6","+23","3.28","+27.1","78.4","+3.51","17.6","+1.07","2.21","+0.47","4.24","+0.96","17","3.17","+0.67","12.7","70"
"333",="1777","生泰","96.1","24Q2","3.43","+27.2","1.44","+37.1","0.99","+12.8","41.9","+3.03","28.7","-3.65","2.21","+0.25","4.29","+0.46","17.2","3.51","+0.46","14","79"
"397",="6231","系微","499.5","24Q2","4.03","+8.59","3.19","+7.7","0.84","+17","79.2","-0.66","20.9","+1.5","2.21","+0.32","8.92","+0.96","35.7","5.61","+0.43","22.4","78"
"330",="9914","美利達","198","24Q2","93.2","+59.5","18.1","+62.1","6.56","+57.7","19.4","+0.32","7.57","+0.16","2.19","+0.8","3.14","+1.19","12.6","1.72","+0.61","6.88","43"
"449",="9958","世紀鋼","213.5","24Q2","30.3","-3.67","9.86","-17.1","5.63","-13.5","32.5","-5.25","22.5","-4.79","2.19","-0.47","3.81","-1.86","15.2","1.83","-0.6","7.31","62"
"465",="3376","新日興","192.5","24Q2","34.8","+20.4","6.49","+26.1","4.1","+30.3","18.6","+0.83","11.8","+0.89","2.18","+0.5","2.59","+0.6","10.4","1.84","+0.39","7.37","49"
"226",="3515","華擎","201","24Q2","52.2","+5.48","11.8","+16.4","2.64","-14.2","22.5","+2.12","6.66","-0.33","2.17","-0.36","3.98","+0.01","15.9","2.24","-0.11","8.94","45"
"464",="6143","振曜","142.5","24Q2","19.8","+47.8","4.14","+43.7","1.87","+43.5","20.9","-0.6","12.1","-1.09","2.17","+0.66","5.82","+1.28","23.3","3.39","+0.72","13.5","57"
"508",="6761","穩得","98.9","24Q2","5.19","+4.91","1.7","+14.9","0.62","+54.4","32.8","+2.86","12","+3.84","2.17","+0.68","4.83","+1.35","19.3","2.66","+0.76","10.7","57"
"911",="4109","加捷生醫","26.2","24Q2","1.51","-5.5","0.49","-4.39","2.15","+1513","32.2","+0.37","143","+134","2.17","+2.03","16.9","+15.6","67.5","14.6","+13.6","58.5","79"
"1551",="4113","聯上","32.35","24Q2","22.9","+83.9","7.38","+140","4.59","+328","32.3","+7.51","20.1","+11.4","2.17","+1.66","13.3","+9.92","53.2","3.22","+2.51","12.9","55"
"243",="6667","信紘科","208","24Q2","7.89","+22.9","1.84","+13.4","0.97","+15.9","23.4","-1.96","12.2","-0.85","2.16","+0.3","7","+1.1","28","2.61","+0.15","10.4","64"
"207",="9802","鈺齊-KY","117","24Q2","39.7","+49.1","7.29","+51.5","4.08","+44.6","18.4","+0.3","10.3","-0.35","2.14","+0.66","3.22","+0.95","12.9","2.1","+0.6","8.39","51"
"776",="4907","富宇","66.2","24Q2","28.9","+1279","4.54","+563","2.53","+709","15.7","-17","8.78","-6.19","2.14","+1.87","12.3","+10.7","49.1","2.55","+2.25","10.2","53"
"220",="8255","朋程","170","24Q2","19.2","+9.32","6.03","+30.8","2.16","-3.91","31.3","+5.13","12.1","-0.04","2.13","-0.09","2.3","+0.16","9.19","1.46","+0.09","5.86","57"
"238",="5609","中菲行","86.4","24Q2","67.2","+19.3","9.28","+6.72","2.97","+32.7","13.8","-1.62","4.39","+0.27","2.11","+0.53","5.06","+1.03","20.3","3.3","+0.71","13.2","50"
"347",="6271","同欣電","137.5","24Q2","30.7","+3.29","8.67","+5.87","4.41","+20.9","28.2","+0.69","14.4","+2.09","2.11","+0.37","1.79","+0.3","7.16","1.29","+0.21","5.16","62"
"350",="6651","全宇昕","98.2","24Q2","3.38","+12.4","1.22","+30.6","0.73","+10.4","36.1","+5.03","21.5","-0.4","2.11","+0.19","6.53","+0.6","26.1","4.1","+0.62","16.4","64"
"186",="2753","八方雲集","150.5","24Q2","19.1","-0.69","6.64","-3.48","1.39","-11.3","34.7","-1","7.02","-1.33","2.1","-0.26","3.95","-0.8","15.8","2.17","-0.46","8.69","62"
"316",="4938","和碩","102.5","24Q2","2,537","+1.32","116","+9.59","55.9","+71.5","4.57","+0.34","2.45","+0.94","2.1","+0.88","2.75","+1.04","11","1.15","+0.45","4.59","40"
"446",="8476","台境","55.3","24Q2","5.94","+85.4","2.61","+188","1.74","+308","43.9","+15.7","29.5","+16.1","2.09","+1.57","8.85","+6.65","35.4","5.63","+4.13","22.5","85"
"600",="4569","六方科-KY","231.5","24Q2","3.33","-5","0.81","+3.51","0.65","-29.7","24.5","+2.01","19.4","-6.82","2.09","-0.87","2.51","-1.06","10","2.18","-1.03","8.73","64"
"1717",="6446","藥華藥","627","24Q2","23.1","+39.5","20.1","+37.4","6.8","+106","87","-1.34","29.5","+9.49","2.09","+1.09","2.73","+1.37","10.9","2.45","+1.24","9.81","79"
"317",="5306","桂盟","139","24Q2","13.6","+23.3","5.53","+35.1","2.62","+72.5","40.7","+3.58","19.3","+5.51","2.08","+0.87","3.27","+1.32","13.1","2.11","+0.86","8.44","70"
"245",="4438","廣越","104","24Q2","41.3","+74.6","6.81","+292","2.14","+285","16.5","+9.15","5.92","+9.77","2.07","+3.19","2.47","+3.38","9.88","1.36","+1.92","5.42","43"
"398",="8924","大田","82.6","24Q2","14","+39.4","2.34","+32.4","1.72","+75.7","16.7","-0.88","12.3","+2.54","2.06","+0.89","4.45","+1.86","17.8","3.13","+1.3","12.5","60"
"415",="8342","益張","89.3","24Q2","4.18","+9.17","1.09","+12","0.69","+5.26","26.2","+0.66","16.5","-0.7","2.06","+0.11","7.05","+0.28","28.2","4.06","+0.23","16.2","62"
"453",="6807","峰源-KY","75.4","24Q2","11.7","+17.2","2.14","+16.5","1.11","+18","18.3","-0.12","9.55","+0.07","2.06","+0.31","5.17","+0.67","20.7","3.25","+0.36","13","60"
"495",="2492","華新科","104","24Q2","88.9","+9.08","17.3","+20.2","10","+61.9","19.4","+1.8","14.3","+3.98","2.06","+0.79","2.15","+0.7","8.62","1.29","+0.41","5.16","45"
"531",="1558","伸興","108.5","24Q2","20.6","+14.3","6.12","+21.8","1.37","+44.8","29.7","+1.83","12.9","+1.77","2.06","+0.64","3.01","+0.74","12.1","2.08","+0.45","8.33","60"
"604",="2882","國泰金","68","24Q2","715","-38.6","","","337","-11.7","","","47.7","+15.5","2.06","-0.54","3.86","-0.62","15.5","0.26","-0.03","1.04","76"
"1138",="1446","宏和","43.95","24Q2","7.45","+3.86","3.65","+0.32","2.82","-3.7","49","-1.73","37.9","-2.97","2.05","-0.08","14.8","-2.79","59.2","6.61","+0.16","26.4","77"
"129",="6291","沛亨","106.5","24Q2","4.15","+9.34","1.47","+11.9","0.86","+1.95","35.5","+0.8","20.7","-1.52","2.04","+0.03","6.14","+0.44","24.6","4.13","+0.07","16.5","70"
"483",="4912","聯德控股-KY","96.6","24Q2","15.4","+30.1","3.8","+42","1.27","+138","24.7","+2.07","8.69","+4.14","2.04","+1.19","3.57","+2.08","14.3","1.74","+1.01","6.96","49"
"1085",="6510","精測","557","24Q2","7.23","+6.98","3.79","+10.3","0.67","+378","52.4","+1.57","8","+6.94","2.04","+1.61","0.76","+0.66","3.04","0.7","+0.61","2.8","66"
"71",="6613","朋億*","173.5","24Q2","23.7","+5.31","5.62","+3.71","1.52","-37.8","23.8","-0.37","7.47","-4.76","2.03","-1.25","3.68","-2.2","14.7","1.68","-0.98","6.74","51"
"354",="6753","龍德造船","114.5","24Q2","12.7","+11.8","3.92","+7.1","2.17","-15","30.8","-1.34","17","-5.35","2.01","-0.36","6.43","-1.64","25.7","2.33","-0.52","9.32","64"
"108",="9942","茂順","114.5","24Q2","9.87","+3.23","4.1","+7.17","1.66","-12","41.5","+1.52","16.9","-2.92","2","-0.27","4.18","-0.46","16.7","3.05","-0.48","12.2","62"
"247",="2640","大車隊","114.5","24Q2","7.44","+2.03","3.39","-2.44","1.19","+3.37","45.5","-2.09","15.7","+0.16","2","+0.06","6.44","+0.4","25.8","3.21","-0.01","12.9","70"
"477",="4933","友輝","68.1","24Q2","7.23","+18.3","2.32","+35.5","1.63","+2.67","32.1","+4.08","22.5","-3.42","2","+0.05","4.81","+0.06","19.3","3.56","-0.05","14.3","72"
"163",="8499","鼎炫-KY","115","24Q2","5.25","+27.5","1.92","+16.4","0.83","-17.8","36.6","-3.5","19.9","-11.4","1.99","-0.43","0.95","-0.24","3.8","0.88","-0.24","3.51","66"
"240",="5903","全家","187","24Q2","261","+5.1","95.7","+7.2","4.44","+70","36.6","+0.71","1.83","+0.68","1.99","+0.82","6.14","+2.62","24.6","0.64","+0.26","2.54","55"
"334",="3163","波若威","172","24Q2","4.59","-16.3","0.72","-27","1.6","+18.1","15.7","-2.3","34.8","+10.1","1.98","+0.3","6.2","+0.91","24.8","4.47","+0.66","17.9","70"
"181",="6579","研揚","145.5","24Q2","19.2","+6.47","7.19","+17.4","2.35","-45.2","37.5","+3.48","14.7","-11.7","1.97","-1.64","2.3","-1.54","9.21","1.82","-1.39","7.27","62"
"438",="6922","宸曜","150","24Q2","3.52","+3.89","1.57","+3.33","0.51","-12.2","44.6","-0.24","14.3","-2.62","1.97","-0.28","5.93","-0.92","23.7","3.24","-1.66","13","66"
"473",="3030","德律","137","24Q2","17.3","+14.3","10","+11.3","4.66","+2.37","58.1","-1.56","27","-3.15","1.97","+0.04","6.21","+0.08","24.8","4.59","-0.27","18.4","79"
"197",="2066","世德","100","24Q2","7.11","-3.75","2.46","-2.97","0.82","-31.7","34.6","+0.28","11.6","-4.75","1.96","-0.94","4.15","-2.27","16.6","2.14","-1.16","8.54","57"
"324",="6464","台數科","80","24Q2","10.5","-1.58","5.52","+4.33","2.48","+8.17","52.5","+2.97","24.6","+2.43","1.96","+0.16","3.13","+0.3","12.5","1.38","+0.11","5.51","64"
"321",="3357","臺慶科","130.5","24Q2","13.7","+16.9","3.27","+23.6","1.99","+37.3","23.9","+1.31","14.5","+2.16","1.95","+0.53","2.91","+0.76","11.7","1.73","+0.44","6.94","60"
"308",="8091","翔名","154","24Q2","5.17","+7.15","1.82","+6.28","0.93","-11","35.1","-0.29","18","-3.58","1.93","-0.24","3.08","-0.35","12.3","2.19","-0.22","8.76","66"
"356",="3032","偉訓","65.2","24Q2","17.8","-12","3.9","-8.41","2.16","+37.7","21.9","+0.85","14.2","+5.17","1.92","+0.52","5.78","+1.57","23.1","3.16","+0.98","12.6","55"
"171",="2211","長榮鋼","109.5","24Q2","33.4","+17.3","10.3","+25.7","7.96","+64.9","30.8","+2.04","25.6","+5.75","1.91","+0.75","2.98","+0.98","11.9","2.21","+0.67","8.84","60"
"431",="4987","科誠","71.4","24Q2","3.33","+31.1","1.46","+44.1","0.61","+107","43.9","+3.96","18.3","+6.73","1.91","+0.99","5.77","+3","23.1","4.12","+2.04","16.5","73"
"332",="4974","亞泰","96.8","24Q2","11","+28.1","1.75","+22.3","1.38","+20.4","16","-0.76","12.6","-0.81","1.9","+0.32","4.57","+0.72","18.3","3.11","+0.3","12.4","57"
"236",="5236","凌陽創新","176.5","24Q2","4.07","+11.7","2.48","+4.65","1.1","-2.39","61.1","-4.14","27.1","-3.93","1.89","-0.05","4.84","+0.07","19.3","3.58","-0.22","14.3","77"
"268",="2387","精元","55.6","24Q2","60.3","+20.3","10.7","+57.9","3.66","+60.5","17.7","+4.21","6.01","+1.74","1.89","+0.71","3.35","+1.35","13.4","1.78","+0.7","7.11","49"
"293",="3005","神基","111.5","24Q2","86.5","-0.59","28.3","+6.61","11.5","+4.63","32.7","+2.21","14.1","+0.6","1.89","+0.08","5.22","+0.14","20.9","2.87","+0.1","11.5","64"
"300",="6672","騰輝電子-KY","69","24Q2","11.2","+4.18","3.74","+0.22","1.34","+50.7","33.4","-1.32","12","+3.71","1.89","+0.64","4.13","+1.34","16.5","2.68","+0.83","10.7","57"
"697",="2230","泰茂","165.5","24Q2","2.97","+6.32","1.31","+10","0.99","+3.35","44.2","+1.49","33.1","-0.91","1.89","+0.02","9.17","-0.66","36.7","5.65","-0.43","22.6","81"
"235",="2480","敦陽科","126","24Q2","17.9","+1.9","4.73","+6.04","2.01","-2.76","26.5","+1.03","11.2","-0.54","1.88","-0.06","6.89","+0.09","27.6","3.02","-0.08","12.1","55"
"180",="4953","緯軟","117","24Q2","25.2","+4.34","4.45","+5.09","1.36","+1.4","17.6","+0.13","5.38","-0.16","1.87","+0.02","3.7","+0.01","14.8","2.48","-0.03","9.94","44"
"183",="5403","中菲","115","24Q2","7.47","+6.04","2.98","+9.01","1.37","+9.21","39.9","+1.09","18.3","+0.53","1.87","+0.16","6.25","+0.73","25","3.05","+0.23","12.2","64"
"304",="6214","精誠","127","24Q2","89.1","-12.6","20.8","+2.67","4.66","-28.8","23.4","+3.47","5.42","-1.32","1.87","-0.76","3.14","-1.37","12.6","1.6","-0.66","6.4","49"
"313",="9927","泰銘","67.2","24Q2","22.1","+4.76","3.86","+25.8","3.13","-2.5","17.5","+2.93","14.2","-1.05","1.87","-0.05","5.22","-0.04","20.9","4.09","-0.15","16.4","66"
"336",="2472","立隆電","74.7","24Q2","27.4","+25","8.36","+35.7","3.09","+27.2","30.5","+2.41","16.1","-0.3","1.87","+0.4","3.99","+0.67","16","2.84","+0.45","11.4","64"
"507",="3226","至寶電","51.7","24Q2","6.37","+12.4","1.68","+11.6","1.2","+3.67","26.4","-0.19","18.9","-1.59","1.87","+0.07","7.03","-0.18","28.1","4.65","-0.12","18.6","64"
