"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元) ▼","EPS增減(元)","單季ROE(%)","單季ROE增減","年估ROE(%)","單季ROA(%)","單季ROA增減","年估ROA(%)","財報評分"
"75",="6146","耕興","216","24Q2","11.5","+0.63","5.76","+3.92","3.4","+0.53","50","+1.58","31.4","+1.09","3.34","+0.02","6.24","+0.39","25","4.36","-0.07","17.5","81"
"150",="2360","致茂","382","24Q2","55.1","+24.8","32.7","+27.3","14.1","+47.3","59.2","+1.14","26.1","+3.95","3.34","+1.07","6.65","+2.16","26.6","4.07","+1.2","16.3","70"
"802",="5314","世紀","210","24Q2","1.21","-25.2","0.72","-17.3","0.49","-38.5","60","+5.77","40.3","-8.66","3.31","-2.07","16.2","-17.3","64.9","12.5","-13.8","49.9","96"
"107",="6561","是方","467.5","24Q2","8.97","+4.9","4.12","-2.59","2.57","+6.09","45.9","-3.53","28.5","+0.19","3.3","+0.19","8.08","+0.79","32.3","3.54","+0.14","14.2","77"
"122",="3587","閎康","276","24Q2","12.7","+5.22","4.63","+27.8","2.19","+57.5","36.5","+6.45","17.2","+5.72","3.3","+1.19","5.07","+1.87","20.3","2.84","+1","11.4","61"
"232",="1537","廣隆","150.5","24Q2","21.1","+21.3","4.78","+34.5","2.7","+29.4","22.6","+2.21","12.8","+0.8","3.29","+0.75","6.22","+1.38","24.9","4.41","+0.78","17.6","62"
"792",="2543","皇昌","97.7","24Q2","39.5","+69","13","+529","9.11","+890","32.9","+24","23.2","+18.6","3.29","+2.9","18.9","+15.7","75.5","5.98","+5.23","23.9","64"
"104",="3218","大學光","231.5","24Q2","10.4","-2.96","6.31","-4.55","2.78","-8.47","60.7","-1.01","26.4","-1.44","3.28","-0.31","8.74","-0.66","35","5.27","-0.41","21.1","85"
"724",="6442","光聖","422.5","24Q2","14.4","+74.5","7.66","+88.8","2.47","+108","53.2","+4.02","17.1","+2.7","3.27","+1.55","8.77","+3.82","35.1","5.6","+2.28","22.4","68"
"80",="2348","海悅","169.5","24Q2","16.6","-27.1","9.23","-18.9","5.4","-41.2","55.5","+5.6","34.8","-7.07","3.26","-4.67","6.2","-4.55","24.8","1.81","-1.3","7.26","68"
"91",="5289","宜鼎","270.5","24Q2","21.9","+0.65","7.59","+0.09","2.94","-16.5","34.7","-0.19","13.4","-2.81","3.26","-0.72","4.08","-0.74","16.3","2.94","-0.7","11.7","64"
"137",="2912","統一超","294","24Q2","828","+2.18","284","+3.31","33.6","+14","34.3","+0.37","4.77","+0.53","3.23","+0.4","8.09","+1.25","32.4","1.51","+0.18","6.02","62"
"886",="6187","萬潤","490","24Q2","12.7","+75.8","5.52","+47.7","2.72","+59","43.4","-8.28","21.4","-2.26","3.23","+1.16","7.55","+1.73","30.2","5.32","+1.69","21.3","77"
"305",="6585","鼎基","143.5","24Q2","8.65","+9.08","3.8","+19.2","2.25","+19.1","43.9","+3.73","26.1","+2.2","3.21","+0.49","6.54","+0.77","26.2","4.08","+0.55","16.3","79"
